ID fornecimento,Data,ID Und Reab,Política Pública,Origem das mudas,Finalidade da doação,SomaDequant
11,10-nov.-20,5,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,230
12,16-out.-20,6,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,100
13,28-out.-20,7,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,140
14,28-out.-20,325,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,125
15,09-out.-18,8,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,400
16,21-out.-20,9,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,150
17,27-out.-20,567,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,100
18,21-out.-20,10,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,100
19,21-out.-20,11,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,305
20,29-out.-20,12,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,150
21,10-mar.-20,13,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,115
22,09-fev.-20,13,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,350
23,18-mar.-20,14,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,170
24,09-mar.-20,16,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,120
25,05-mar.-18,17,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,299
26,03-abr.-19,18,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,400
27,03-dez.-19,19,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,400
28,06-ago.-14,20,Programa Reflorestar (convencional),Granja do Ipê,convencional,160
29,10-ago.-14,20,Programa Reflorestar (convencional),Casa do Cerrado,convencional,40
30,01-abr.-11,21,Programa Reflorestar (convencional),Casa do Cerrado,convencional,300
31,17-fev.-12,21,Programa Reflorestar (convencional),Casa do Cerrado,convencional,210
32,10-fev.-15,21,Programa Reflorestar (convencional),Casa do Cerrado,convencional,150
33,01-fev.-18,24,Programa Reflorestar (convencional),Granja do Ipê,convencional,200
34,18-jan.-12,25,Programa Reflorestar (convencional),Granja do Ipê,convencional,150
35,28-nov.-12,25,Programa Reflorestar (convencional),Casa do Cerrado,convencional,200
36,15-ago.-12,26,Programa Reflorestar (convencional),Granja do Ipê,convencional,260
37,05-mai.-15,26,Programa Reflorestar (convencional),Granja do Ipê,convencional,150
38,11-fev.-20,27,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,200
39,14-fev.-20,28,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,150
40,07-fev.-20,30,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,450
41,07-fev.-20,29,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,150
42,12-nov.-20,31,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,263
43,12-nov.-20,31,Programa Reflorestar (convencional),Granja do Ipê,convencional,50
44,12-nov.-20,32,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,100
45,17-nov.-20,33,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,410
46,28-fev.-20,34,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,332
47,03-mar.-20,35,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,140
48,03-mar.-20,36,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,115
49,17-fev.-20,37,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,240
50,18-fev.-20,38,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,210
51,23-dez.-20,39,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,400
52,29-out.-20,39,Programa Reflorestar (convencional),Granja do Ipê,convencional,250
53,19-nov.-20,40,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,250
54,19-dez.-20,41,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,400
55,09-jan.-20,42,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,400
56,07-jan.-20,43,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,400
57,20-jan.-20,44,Plano de Revit. Bacia Hidr. Alto Descoberto,Granja do Ipê,convencional,360
